orbital_period,transit_duration,planet_radius,star_temp,star_radius,label
11.11620211,4.211,8.96,6122.0,0.996,-1
1.922861499,3.5734,5.09,5778.0,0.911,-1
0.635445336,1.8592,19.0,3920.0,0.55,-1
1.665784138,1.8946,97.27,6261.0,2.789,-1
55.6639167,23.546,34.14,5587.0,0.853,-1
52.09081627,8.6388,7.14,6198.0,1.324,1
7.1548608,7.694,7.41,7443.0,1.739,-1
4.28746668,1.5693,2.29,5296.0,0.815,0
2.002779769,2.231,1.42,5346.0,0.892,-1
8.18739443,3.0472,1.92,5251.0,0.849,1
76.0498163,7.158,1.75,5251.0,0.849,1
3.341799486,2.9254,1.67,5873.0,1.235,1
3.3226948,3.568,15.33,5234.0,16.959,-1
36.97708808,4.737,38.6,5589.0,1.239,-1
1.851409163,10.232,20.42,7117.0,1.469,-1
1.303859704,2.8239,0.98,6802.0,1.521,-1
145.5624926,5.4126,40.15,6148.0,1.095,-1
3.749105745,1.9826,1.68,5751.0,0.983,1
11.08956602,6.2877,3.51,6353.0,2.867,1
7.37290344,2.172,2.67,5973.0,1.07,0
7.24476126,2.3145,0.65,5370.0,0.874,-1
119.0624882,3.1188,10.4,5697.0,0.92,0
8.70798309,2.4904,2.01,4362.0,0.554,1
14.8623076,3.161,1.57,4362.0,0.554,-1
4.17634276,2.335,1.23,4362.0,0.554,1
27.40229859,6.8491,3.63,6198.0,1.324,1
3.179267286,1.0246,1.21,5511.0,0.857,1
10.38122447,2.715,2.18,5095.0,0.78,1
24.5709023,3.587,2.82,5095.0,0.78,1
81.221876,4.1135,16.59,5619.0,0.874,-1
0.817026268,2.0799,2.92,5619.0,0.874,-1
3.024092505,2.8021,12.14,6063.0,1.358,1
5.670155713,0.9361,5.85,3337.0,0.183,0
1.022678654,1.3712,1.14,5366.0,1.02,1
12.10968709,6.3461,2.98,6021.0,1.458,1
4.75796103,4.66,1.7,6021.0,1.458,1
20.4972755,8.536,2.96,6021.0,1.458,1
13.55480534,2.288,0.62,5370.0,0.874,-1
29.74454668,23.2842,20.06,4889.0,0.788,-1
14.15402428,4.47001,53.25,5850.0,1.037,-1
0.844786082,3.5289,35.27,5705.0,0.915,-1
